Source,Target,length,Weight,a,b):
100,101,3,3,0,WYO
101,187,3,3,50,YGR
101,186,2,2,50,GR
101,137,3,3,34,GLR
102,221,2,2,50,GR
102,190,3,3,1,WGL
102,103,3,3,0,ORB
103,179,2,2,48,GL
103,140,2,2,69,WG
104,132,3,3,0,OLB
104,114,2,2,52,WG
104,105,2,2,0,OB
105,132,3,3,0,OLB
105,129,3,3,0,YOL
105,128,3,3,0,YOL
105,115,2,2,52,WG
106,126,3,3,0,YOL
106,125,3,3,0,WOL
106,123,3,3,0,WOR
106,122,3,3,0,WOR
106,121,2,2,0,WO
106,116,2,2,0,WY
106,110,3,3,32,WGO
106,110,3,3,0,WYO
107,235,3,3,65,WGB
107,232,3,3,4,WOB
107,231,3,3,4,WOB
107,184,3,3,69,WGO
107,147,3,3,0,LRB
107,142,3,3,69,WGO
107,118,2,2,0,YO
107,117,3,3,0,WYR
107,113,2,2,0,WO
107,112,3,3,0,WRB
107,111,3,3,0,WRB
107,110,3,3,0,WRB
107,109,2,2,0,WB
107,108,2,2,0,WB
108,235,3,3,65,WGB
108,234,3,3,84,GOB
108,232,2,2,4,OB
108,231,3,3,4,WOB
108,150,3,3,0,LRB
108,119,2,2,0,YO
108,113,3,3,0,WOB
108,112,3,3,0,WRB
108,111,3,3,0,WRB
108,110,3,3,0,WRB
108,109,2,2,0,WB
109,235,2,2,65,WG
109,232,3,3,4,WOB
109,231,2,2,4,OB
109,120,2,2,0,YO
109,113,3,3,0,WOB
109,112,2,2,0,RB
109,111,3,3,0,WRB
109,110,3,3,0,WRB
110,129,3,3,65,WGL
110,128,3,3,18,WGL
110,125,3,3,32,WGL
110,124,2,2,0,WL
110,123,3,3,32,WGR
110,122,3,3,32,WGR
110,121,2,2,32,WG
110,121,2,2,0,YO
110,116,3,3,0,WYO
110,112,2,2,0,WR
110,111,2,2,0,WR
111,129,3,3,65,WGL
111,125,3,3,32,WGL
111,124,3,3,0,WLR
111,122,2,2,0,YO
111,121,3,3,32,WGL
111,112,2,2,0,WR
112,231,3,3,4,OLB
112,129,2,2,65,WG
112,125,3,3,32,WGL
112,124,3,3,0,WLR
112,123,2,2,0,YO
112,121,3,3,32,WGL
112,115,3,3,0,YOR
113,232,3,3,4,WOB
113,231,3,3,4,WOB
113,184,3,3,69,WGO
113,153,3,3,0,LRB
113,142,2,2,69,WG
113,118,3,3,0,WYO
114,157,2,2,0,LB
114,115,2,2,0,OB
115,213,3,3,0,YLB
115,157,3,3,0,OLB
115,123,3,3,0,YOR
115,116,3,3,0,WOR
116,214,3,3,0,YLB
116,121,3,3,0,WYO
117,127,2,2,85,GO
118,229,3,3,65,WGB
118,170,3,3,0,LRB
118,123,3,3,0,WRB
118,122,3,3,0,WRB
118,121,3,3,0,WRB
118,120,2,2,0,WB
118,119,2,2,0,WB
119,232,3,3,4,YOB
119,229,3,3,65,WGB
119,173,3,3,0,LRB
119,123,3,3,0,WRB
119,122,3,3,0,WRB
119,121,3,3,0,WRB
119,120,2,2,0,WB
120,231,3,3,4,YOB
120,230,3,3,65,WGO
120,229,2,2,65,WG
120,123,2,2,0,RB
120,122,3,3,0,WRB
120,121,3,3,0,WRB
121,129,3,3,18,WGL
121,128,3,3,65,WGL
121,125,2,2,0,WL
121,124,3,3,32,WGL
121,123,2,2,0,WR
121,122,2,2,0,WR
122,212,3,3,81,GOR
122,128,3,3,65,WGL
122,125,3,3,0,WLR
122,124,3,3,32,WGL
122,123,2,2,0,WR
123,130,3,3,65,WGO
123,128,2,2,65,WG
123,125,3,3,0,WLR
123,124,3,3,32,WGL
124,128,3,3,18,WGL
124,126,3,3,0,WYO
124,125,2,2,0,YO
125,159,3,3,34,WGO
125,129,3,3,18,WGL
125,126,3,3,0,WYO
126,238,3,3,0,YLB
126,155,3,3,23,YGR
126,148,3,3,34,WGO
126,129,3,3,0,YRB
127,226,2,2,0,LB
127,185,3,3,32,YGR
127,131,3,3,0,WOR
128,229,2,2,0,LB
128,131,3,3,0,WYO
128,130,2,2,0,WO
128,129,2,2,0,YO
129,235,2,2,0,LB
129,131,3,3,0,WYO
129,130,3,3,0,WYO
130,230,2,2,0,LB
130,212,3,3,32,WGR
130,131,2,2,0,WY
131,227,2,2,0,LB
131,224,3,3,32,WGR
131,211,3,3,32,YGR
132,235,3,3,0,YOB
132,229,3,3,0,YOB
132,139,3,3,0,YLR
133,175,3,3,0,WOR
133,174,2,2,0,WO
133,173,3,3,0,WOR
133,161,2,2,0,WY
133,151,3,3,0,WYO
133,134,2,2,0,LR
134,172,3,3,0,WOL
134,171,2,2,0,WO
134,170,3,3,0,WOL
134,159,2,2,0,WY
134,148,3,3,0,WYO
134,142,3,3,0,YOL
135,239,3,3,4,WOB
